Income bracket,from $/day,bracket center $/day,to $/day,# of people,linear bridge,2-order bridge,
0,0.0078125,0.008974225245,0.0103087,15505,,,
1,0.0103087,0.01184158186,0.0136024,34493,,,
2,0.0136024,0.01562502212,0.0179484,61901,,,
3,0.0179484,0.0206173168,0.0236831,96779,,,
4,0.0236831,0.02720472156,0.03125,146282,,,
5,0.03125,0.03589681393,0.0412346,217853,,,
6,0.0412346,0.0473661255,0.0544094,326529,,,
7,0.0544094,0.0624999736,0.0717936,496101,,,
8,0.0717936,0.08246922367,0.0947323,783656,,,
9,0.0947323,0.1088188288,0.125,1296036,,,
10,0.125,0.1435872992,0.1649385,2246403,,,
11,0.1649385,0.1894645595,0.2176376,4019991,,,
12,0.2176376,0.2499999814,0.2871746,7311036,,,
13,0.2871746,0.329876966,0.3789291,13327801,,,
14,0.3789291,0.4352752577,0.5,24092783,,,
15,0.5,0.5743491969,0.659754,43033787,,,
16,0.659754,0.7578583249,0.8705506,74593736,,,
17,0.8705506,1.000000041,1.1486984,122822669,,,
18,1.1486984,1.319507951,1.5157166,193484749,,,
19,1.5157166,1.741101146,2,300178407,,,
20,2,2.297396701,2.6390158,466820034,,,
21,2.6390158,3.031433141,3.4822023,656734274,,,
22,3.4822023,4.000000018,4.5947934,758889811,,,
23,4.5947934,5.278031646,6.0628663,745112978,,,
24,6.0628663,6.964404526,8,694327953,,,
25,8,9.189586846,10.5560633,645244780,,,
26,10.5560633,12.12573253,13.928809,594555932,,,
27,13.928809,16,18.3791737,530817279,,,
28,18.3791737,21.1121266,24.2514651,457887686,,,
29,24.2514651,27.85761805,32,390325569,,,
30,32,36.75834734,42.2242531,340558577,,,
31,42.2242531,48.50293012,55.7152361,289918647,,,
32,55.7152361,64.00000002,73.5166947,222540434,,,
33,73.5166947,84.4485063,97.0058603,151845130,,,
34,97.0058603,111.4304721,128,95258770,,,
35,128,147.0333894,168.8970126,55198318,,,
36,168.8970126,194.0117205,222.8609442,29540360,,,
37,222.8609442,256,294.0667789,15176679,,,
38,294.0667789,337.7940252,388.023441,7684619,,,
39,388.023441,445.7218884,512,3940498,,,
40,512,588.1335578,675.5880503,2067149,,,
41,675.5880503,776.046882,891.4437768,1149124,,,
42,891.4437768,1024,1176.267116,644527,,,
43,1176.267116,1351.176101,1552.093764,349001,,,
44,1552.093764,1782.887554,2048,167709,,,
45,2048,2352.534231,2702.352201,71010,,,
46,2702.352201,3104.187528,3565.775107,30312,,,
47,3565.775107,4096,4705.068462,15879,,,
48,4705.068462,5404.704403,6208.375056,9110,,,
49,6208.375056,7131.550215,8192,4874,4874,4874,
50,8192,9410.136924,10809.40881,,4402,3982,52.49382716
51,10809.40881,12416.75011,14263.10043,,3929,3194,
52,14263.10043,16384,18820.27385,,3457,2512,
53,18820.27385,21618.81761,24833.50023,,2984,1934,
54,24833.50023,28526.20086,32768,,2512,1462,
55,32768,37640.5477,43237.63522,,2039,1094,
56,43237.63522,49667.00045,57052.40172,,1567,832,
57,57052.40172,65536,75281.09539,,1094,674,
58,75281.09539,86475.27044,99334.0009,622,622,622,
59,99334.0009,114104.8034,131072,577,,,
60,131072,150562.1908,172950.5409,658,,,
61,172950.5409,198668.0018,228209.6069,366,,,
62,228209.6069,262144,301124.3816,384,,,
63,301124.3816,345901.0818,397336.0036,284,,,
64,397336.0036,456419.2137,524288,222,,,
65,524288,602248.7631,691802.1635,162,,,
66,691802.1635,794672.0072,912838.4275,88,,,
67,912838.4275,1048576,1204497.526,59,,,
68,1204497.526,1383604.327,1589344.014,47,,,
69,1589344.014,1825676.855,2097152,31,,,
70,2097152,2408995.053,2767208.654,16,,,
71,2767208.654,3178688.029,3651353.71,10,,,
72,3651353.71,4194304,4817990.105,7,,,
73,4817990.105,5534417.308,6357376.058,10,,,
74,6357376.058,7302707.42,8388608,6,,,
75,8388608,9635980.21,11068834.62,5,,,
76,11068834.62,12714752.12,14605414.84,2,,,
77,14605414.84,16777216,19271960.42,1,,,
78,19271960.42,22137669.23,25429504.23,0,,,
79,25429504.23,29210828.81,33554430,0,,,
