bracket center $/day;# of people
0,008974225;15505
0,011841582;34493
0,015625022;61901
0,020617317;96779
0,027204722;146282
0,035896814;217853
0,047366126;326529
0,062499974;496101
0,082469224;783656
0,108818829;1296036
0,143587299;2246403
0,189464559;4019991
0,249999981;7311036
0,329876966;13327801
0,435275258;24092783
0,574349197;43033787
0,757858325;74593736
1,000000041;122822669
1,319507951;193484749
1,741101146;300178407
2,297396701;466820034
3,031433141;656734274
4,000000018;758889811
5,278031646;745112978
6,964404526;694327953
9,189586846;645244780
12,12573253;594555932
16;530817279
21,1121266;457887686
27,85761805;390325569
36,75834734;340558577
48,50293012;289918647
64,00000002;222540434
84,4485063;151845130
111,4304721;95258770
147,0333894;55198318
194,0117205;29540360
256;15176679
337,7940252;7684619
445,7218884;3940498
588,1335578;2067149
776,046882;1149124
1024;644527
1351,176101;349001
1782,887554;167709
2352,534231;71010
3104,187528;30312
4096;15879
5404,704403;9110
7131,550215;4874
9410,136924;4402
12416,75011;3929
16384;3457
21618,81761;2984
28526,20086;2512
37640,5477;2039
49667,00045;1567
65536;1094
86475,27044;622
114104,8034;577
150562,1908;658
198668,0018;366
262144;384
345901,0818;284
456419,2137;222
602248,7631;162
794672,0072;88
1048576;59
1383604,327;47
1825676,855;31
2408995,053;16
3178688,029;10
4194304;7
5534417,308;10
7302707,42;6
9635980,21;5
12714752,12;2
16777216;1
22137669,23;0
29210828,81;0
